Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-15,0,w,2565758,2862057,1.12,184873,297110,1.61,0.1616,535.00,0.85,0.0016
2025-04-16,1,w,449137,690245,1.54,98593,184947,1.88,0.3382,533.00,-1.15,-0.0021
2025-04-17,2,w,369860,643175,1.74,1612205,3044677,1.89,0.3318,549.00,14.85,0.0278
2025-04-21,6,w,57879,81126,1.4,57408,103884,1.81,0.24960000000000002,535.00,0.85,0.0016
2025-04-22,7,w,29041,38685,1.33,23018,39154,1.7,0.2594,529.00,-5.15,-0.0096
2025-04-23,8,w,19407,16721,0.86,13724,17882,1.3,0.2671,540.00,5.85,0.011000000000000001
2025-04-24,9,w,13730,13008,0.95,13308,19544,1.47,0.2721,538.00,3.85,0.0072
2025-04-25,10,w,71335,84526,1.18,141090,436108,3.09,0.2785,540.00,5.85,0.011000000000000001
2025-04-28,13,w,12182,8986,0.74,1123,2406,2.14,0.2607,540.00,5.85,0.011000000000000001
2025-04-29,14,w,1521,3532,2.32,0,0,0,0.2602,500.00,-34.15,-0.0639
2025-04-30,15,w,76009,121899,1.6,467600,664898,1.42,0.2691,545.00,10.85,0.0203
2025-05-02,17,w,24879,55040,2.21,123295,294377,2.39,0.2775,551.00,16.85,0.0315
2025-05-09,24,w,35905,30918,0.86,88182,348687,3.95,0.2701,534.00,-0.15,-0.0003
2025-05-16,31,m,91863,210048,2.29,791724,1904389,2.41,0.26530000000000004,547.00,12.85,0.0241
2025-05-23,38,w,5038,7274,1.44,25472,33894,1.33,0.261,515.00,-19.15,-0.0358
2025-05-30,45,w,16376,168536,10.29,192600,288902,1.5,0.2561,563.00,28.85,0.054000000000000006
2025-06-20,66,m,37022,91319,2.47,809421,1434560,1.77,0.25,555.00,20.85,0.039
2025-06-30,76,w,7419,8654,1.17,199380,219596,1.1,0.2469,556.00,21.85,0.0409
2025-07-18,94,m,10422,37876,3.63,271447,341440,1.26,0.24600000000000002,555.00,20.85,0.039
2025-07-31,107,w,2604,1215,0.47,94578,38406,0.41,0.24420000000000003,560.00,25.85,0.0484
2025-08-15,122,m,5793,16163,2.79,234308,244624,1.04,0.2443,565.00,30.85,0.057800000000000004
2025-08-29,136,w,328,26014,79.31,42088,59266,1.41,0.242,530.00,-4.15,-0.0078000000000000005
2025-09-19,157,m,10668,25167,2.36,393702,682933,1.73,0.23829999999999998,565.00,30.85,0.057800000000000004
2025-09-30,168,w,3965,4805,1.21,78501,48734,0.62,0.2364,560.00,25.85,0.0484
2025-12-19,248,m,5985,4201,0.7,360912,492463,1.36,0.23129999999999998,550.00,15.85,0.0297
2025-12-31,260,w,1149,835,0.73,83314,62070,0.75,0.2289,592.00,57.85,0.10830000000000001
2026-01-16,276,m,5845,5013,0.86,368466,404609,1.1,0.2279,565.00,30.85,0.057800000000000004
2026-03-20,339,m,4984,2644,0.53,217759,125465,0.58,0.2262,585.00,50.85,0.09519999999999999
2026-03-31,350,w,1388,431,0.31,5023,14523,2.89,0.2254,540.00,5.85,0.011000000000000001
2026-06-18,429,w,3196,1225,0.38,217559,104889,0.48,0.22329999999999997,550.00,15.85,0.0297
2026-12-18,612,m,572,889,1.55,102399,153020,1.49,0.2207,540.00,5.85,0.011000000000000001
2027-01-15,640,m,945,295,0.31,55129,53412,0.97,0.21969999999999998,600.00,65.85,0.1233
2027-12-17,976,m,902,6955,7.71,46379,55374,1.19,0.22030000000000002,575.00,40.85,0.0765
