Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-09,0,w,2867365,2415437,0.84,359860,839008,2.33,0.019299999999999998,560.00,-4.85,-0.0086
2025-05-12,3,w,741347,532917,0.72,108780,128189,1.18,0.1773,564.00,-0.85,-0.0015
2025-05-13,4,w,138441,99874,0.72,62504,74651,1.19,0.1989,564.00,-0.85,-0.0015
2025-05-14,5,w,86963,66343,0.76,39096,47196,1.21,0.1999,563.00,-1.85,-0.0033
2025-05-15,6,w,35156,29437,0.84,36028,42258,1.17,0.2026,564.00,-0.85,-0.0015
2025-05-16,7,m,234189,336526,1.44,1006069,2541142,2.53,0.2053,550.00,-14.85,-0.0263
2025-05-19,10,w,24302,22850,0.94,15439,22421,1.45,0.1866,563.00,-1.85,-0.0033
2025-05-20,11,w,20887,17003,0.81,15996,14572,0.91,0.1883,565.00,0.15,0.0003
2025-05-21,12,w,7487,11573,1.55,9006,5246,0.58,0.18989999999999999,565.00,0.15,0.0003
2025-05-22,13,w,5103,6780,1.33,1378,1060,0.77,0.1912,565.00,0.15,0.0003
2025-05-23,14,w,29912,46765,1.56,82116,340097,4.14,0.1938,557.00,-7.85,-0.0139
2025-05-30,21,w,41090,49808,1.21,285305,764597,2.68,0.1911,560.00,-4.85,-0.0086
2025-06-06,28,w,16365,38912,2.38,34964,192241,5.5,0.1936,561.00,-3.85,-0.0068000000000000005
2025-06-13,35,w,8280,10576,1.28,11715,159795,13.64,0.19510000000000002,561.00,-3.85,-0.0068000000000000005
2025-06-20,42,m,82884,169303,2.04,1113917,2083393,1.87,0.1943,555.00,-9.85,-0.0174
2025-06-27,49,w,3523,1688,0.48,347,380,1.1,0.1934,569.00,4.15,0.0074
2025-06-30,52,w,10407,19810,1.9,238355,295589,1.24,0.1907,555.00,-9.85,-0.0174
2025-07-18,70,m,17391,87611,5.04,353345,647946,1.83,0.1967,555.00,-9.85,-0.0174
2025-07-31,83,w,2822,24165,8.56,128770,105195,0.82,0.1984,560.00,-4.85,-0.0086
2025-08-15,98,m,5769,20485,3.55,280593,372121,1.33,0.2011,563.00,-1.85,-0.0033
2025-08-29,112,w,3642,1229,0.34,49158,123619,2.51,0.20309999999999997,540.00,-24.85,-0.044000000000000004
2025-09-19,133,m,11242,25238,2.24,433790,960549,2.21,0.2036,565.00,0.15,0.0003
2025-09-30,144,w,2727,3238,1.19,90139,79235,0.88,0.2022,554.00,-10.85,-0.0192
2025-10-31,175,w,467,3534,7.57,8814,20460,2.32,0.2048,565.00,0.15,0.0003
2025-12-19,224,m,4755,5564,1.17,399355,532769,1.33,0.2064,550.00,-14.85,-0.0263
2025-12-31,236,w,3222,2926,0.91,100610,78292,0.78,0.2047,593.00,28.15,0.049800000000000004
2026-01-16,252,m,5990,4355,0.73,393004,430632,1.1,0.2043,565.00,0.15,0.0003
2026-03-20,315,m,754,4062,5.39,225221,145448,0.65,0.20600000000000002,580.00,15.15,0.0268
2026-03-31,326,w,325,521,1.6,8594,41202,4.79,0.205,580.00,15.15,0.0268
2026-06-18,405,w,1162,3770,3.24,233725,122817,0.53,0.20620000000000002,550.00,-14.85,-0.0263
2026-12-18,588,m,1100,580,0.53,121658,158625,1.3,0.20670000000000002,545.00,-19.85,-0.0351
2027-01-15,616,m,460,8788,19.1,54971,57089,1.04,0.20670000000000002,600.00,35.15,0.0622
2027-12-17,952,m,1302,484,0.37,56757,73618,1.3,0.2118,570.00,5.15,0.0091
