Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-07,0,w,2461384,2530556,1.03,164991,227503,1.38,0.0633,560.00,-0.48,-0.0009
2025-05-08,1,w,611983,679193,1.11,83151,87716,1.05,0.2438,560.00,-0.48,-0.0009
2025-05-09,2,w,345801,352334,1.02,232888,703050,3.02,0.2391,555.00,-5.48,-0.0098
2025-05-12,5,w,98396,80831,0.82,46875,69724,1.49,0.2052,562.00,1.52,0.0027
2025-05-13,6,w,53198,40389,0.76,22463,52050,2.32,0.212,560.00,-0.48,-0.0009
2025-05-14,7,w,48777,39191,0.8,13340,27482,2.06,0.2118,563.00,2.52,0.0045000000000000005
2025-05-15,8,w,20246,17651,0.87,15708,23244,1.48,0.2121,560.00,-0.48,-0.0009
2025-05-16,9,m,146642,256449,1.75,976379,2514129,2.57,0.2148,549.00,-11.48,-0.020499999999999997
2025-05-19,12,w,8925,11857,1.33,6091,7694,1.26,0.1989,560.00,-0.48,-0.0009
2025-05-20,13,w,9276,7204,0.78,2054,2003,0.98,0.20199999999999999,560.00,-0.48,-0.0009
2025-05-21,14,w,4414,2695,0.61,0,0,0,0.20440000000000003,490.00,-70.48,-0.1257
2025-05-23,16,w,17238,31680,1.84,73063,319734,4.38,0.2102,555.00,-5.48,-0.0098
2025-05-30,23,w,29222,83153,2.85,278454,723814,2.6,0.2066,560.00,-0.48,-0.0009
2025-06-06,30,w,12038,28035,2.33,24743,175425,7.09,0.20850000000000002,560.00,-0.48,-0.0009
2025-06-13,37,w,5244,4926,0.94,6119,9896,1.62,0.21,562.00,1.52,0.0027
2025-06-20,44,m,71184,125130,1.76,1055069,2026344,1.92,0.20879999999999999,555.00,-5.48,-0.0098
2025-06-30,54,w,8734,17459,2.0,234206,289704,1.24,0.2048,555.00,-5.48,-0.0098
2025-07-18,72,m,11675,63959,5.48,349074,602983,1.73,0.2102,555.00,-5.48,-0.0098
2025-07-31,85,w,3063,5487,1.79,126153,98799,0.78,0.2113,560.00,-0.48,-0.0009
2025-08-15,100,m,7905,36677,4.64,276155,345422,1.25,0.2132,563.00,2.52,0.0045000000000000005
2025-08-29,114,w,1208,1620,1.34,48088,121558,2.53,0.2146,535.00,-25.48,-0.0455
2025-09-19,135,m,5638,18076,3.21,433690,946829,2.18,0.2141,565.00,4.52,0.008100000000000001
2025-09-30,146,w,2212,9342,4.22,89397,68908,0.77,0.2122,550.00,-10.48,-0.0187
2025-10-31,177,w,745,1526,2.05,7127,18090,2.54,0.21350000000000002,565.00,4.52,0.008100000000000001
2025-12-19,226,m,7252,7222,1.0,394307,532815,1.35,0.2143,550.00,-10.48,-0.0187
2025-12-31,238,w,6217,3293,0.53,97875,77657,0.79,0.2121,593.00,32.52,0.057999999999999996
2026-01-16,254,m,2915,10075,3.46,391985,428367,1.09,0.21170000000000003,565.00,4.52,0.008100000000000001
2026-03-20,317,m,1252,1449,1.16,224994,144362,0.64,0.2119,580.00,19.52,0.0348
2026-03-31,328,w,241,583,2.42,8326,40709,4.89,0.2108,580.00,19.52,0.0348
2026-06-18,407,w,1196,8363,6.99,240170,121948,0.51,0.2113,550.00,-10.48,-0.0187
2026-12-18,590,m,690,1103,1.6,121166,158340,1.31,0.2108,545.00,-15.48,-0.0276
2027-01-15,618,m,305,463,1.52,54930,56659,1.03,0.2112,600.00,39.52,0.0705
2027-12-17,954,m,516,232,0.45,56840,73510,1.29,0.2148,570.00,9.52,0.017
