Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-14,0,w,2629437,2422841,0.92,208590,254185,1.22,0.023700000000000002,583.00,-3.66,-0.0062
2025-05-15,1,w,563834,670521,1.19,85130,115885,1.36,0.1772,580.00,-6.66,-0.011399999999999999
2025-05-16,2,m,396496,392474,0.99,1070419,2774441,2.59,0.1813,560.00,-26.66,-0.0454
2025-05-19,5,w,97033,76794,0.79,44261,72047,1.63,0.14730000000000001,580.00,-6.66,-0.011399999999999999
2025-05-20,6,w,44384,35949,0.81,35305,52069,1.47,0.1515,580.00,-6.66,-0.011399999999999999
2025-05-21,7,w,32715,26767,0.82,38786,34566,0.89,0.15380000000000002,580.00,-6.66,-0.011399999999999999
2025-05-22,8,w,14643,13643,0.93,15484,21829,1.41,0.15689999999999998,580.00,-6.66,-0.011399999999999999
2025-05-23,9,w,77841,79622,1.02,136662,424233,3.1,0.1609,573.00,-13.66,-0.0233
2025-05-27,13,w,11617,11661,1.0,142,4317,30.4,0.14529999999999998,575.00,-11.66,-0.0199
2025-05-28,14,w,3057,3068,1.0,0,0,0,0.1543,515.00,-71.66,-0.1222
2025-05-30,16,w,54796,141716,2.59,342896,815116,2.38,0.1578,566.00,-20.66,-0.0352
2025-06-06,23,w,23310,56672,2.43,77280,247937,3.21,0.1591,580.00,-6.66,-0.011399999999999999
2025-06-13,30,w,16836,21209,1.26,30205,187569,6.21,0.1588,573.00,-13.66,-0.0233
2025-06-20,37,m,65178,126251,1.94,1237374,2267146,1.83,0.15789999999999998,560.00,-26.66,-0.0454
2025-06-27,44,w,2983,4490,1.51,5942,14962,2.52,0.1562,570.00,-16.66,-0.028399999999999998
2025-06-30,47,w,13285,19599,1.48,241082,322384,1.34,0.154,561.00,-25.66,-0.0437
2025-07-18,65,m,29669,79272,2.67,360796,757987,2.1,0.16210000000000002,565.00,-21.66,-0.0369
2025-07-31,78,w,5324,7928,1.49,134617,130236,0.97,0.1649,563.00,-23.66,-0.0403
2025-08-15,93,m,11539,29416,2.55,297294,416219,1.4,0.1716,565.00,-21.66,-0.0369
2025-08-29,107,w,3428,1888,0.55,52778,97725,1.85,0.1728,540.00,-46.66,-0.0795
2025-09-19,128,m,14449,23044,1.59,433823,1047923,2.42,0.1773,565.00,-21.66,-0.0369
2025-09-30,139,w,2849,4813,1.69,94316,85199,0.9,0.1745,557.00,-29.66,-0.0506
2025-10-31,170,w,8320,2521,0.3,29818,30400,1.02,0.1812,569.00,-17.66,-0.0301
2025-12-19,219,m,7786,6984,0.9,404517,547357,1.35,0.18469999999999998,550.00,-36.66,-0.0625
2025-12-31,231,w,2942,1033,0.35,101012,81403,0.81,0.1821,593.00,6.34,0.0108
2026-01-16,247,m,8297,15536,1.87,395439,434997,1.1,0.1841,565.00,-21.66,-0.0369
2026-03-20,310,m,2226,6293,2.83,226456,147949,0.65,0.18739999999999998,580.00,-6.66,-0.011399999999999999
2026-03-31,321,w,524,1260,2.4,8780,46579,5.31,0.1861,590.00,3.34,0.005699999999999999
2026-06-18,400,w,53481,8829,0.17,232915,125457,0.54,0.19039999999999999,550.00,-36.66,-0.0625
2026-12-18,583,m,4272,2605,0.61,129438,160826,1.24,0.19469999999999998,545.00,-41.66,-0.071
2027-01-15,611,m,928,262,0.28,54552,63813,1.17,0.1953,600.00,13.34,0.0227
2027-12-17,947,m,627,788,1.26,58126,74665,1.28,0.20309999999999997,570.00,-16.66,-0.028399999999999998
