Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-05,0,w,2408399,2390958,0.99,159486,275286,1.73,0.028399999999999998,565.00,1.65,0.0029
2025-05-06,1,w,557440,556937,1.0,69538,90794,1.31,0.1977,560.00,-3.35,-0.0059
2025-05-07,2,w,112071,119117,1.06,52188,97074,1.86,0.22510000000000002,560.00,-3.35,-0.0059
2025-05-08,3,w,50494,68641,1.36,52258,46786,0.9,0.2266,560.00,-3.35,-0.0059
2025-05-09,4,w,144636,220797,1.53,185069,647038,3.5,0.2256,555.00,-8.35,-0.0148
2025-05-12,7,w,33036,45597,1.38,21970,43399,1.98,0.19190000000000002,560.00,-3.35,-0.0059
2025-05-13,8,w,12627,20614,1.63,8263,40620,4.92,0.1991,561.00,-2.35,-0.0042
2025-05-14,9,w,6513,11173,1.72,4878,18636,3.82,0.2006,565.00,1.65,0.0029
2025-05-15,10,w,5994,11290,1.88,7164,7852,1.1,0.2025,565.00,1.65,0.0029
2025-05-16,11,m,117153,274822,2.35,979744,2453573,2.5,0.2059,548.00,-15.35,-0.027200000000000002
2025-05-19,14,w,2855,4301,1.51,0,0,0,0.1893,500.00,-63.35,-0.1124
2025-05-23,18,w,14517,38856,2.68,66365,298612,4.5,0.20370000000000002,551.00,-12.35,-0.0219
2025-05-30,25,w,34206,78719,2.3,266260,696888,2.62,0.2016,560.00,-3.35,-0.0059
2025-06-06,32,w,11421,30417,2.66,14630,151220,10.34,0.2039,560.00,-3.35,-0.0059
2025-06-13,39,w,2203,3663,1.66,3154,5088,1.61,0.2051,565.00,1.65,0.0029
2025-06-20,46,m,49963,136381,2.73,1021940,1947833,1.91,0.2043,550.00,-13.35,-0.023700000000000002
2025-06-30,56,w,7111,19405,2.73,230843,279908,1.21,0.2009,555.00,-8.35,-0.0148
2025-07-18,74,m,20839,41927,2.01,344577,559525,1.62,0.2043,555.00,-8.35,-0.0148
2025-07-31,87,w,14091,6801,0.48,114826,91230,0.79,0.2077,560.00,-3.35,-0.0059
2025-08-15,102,m,4549,11016,2.42,270804,333940,1.23,0.2097,563.00,-0.35,-0.0006
2025-08-29,116,w,553,1538,2.78,47751,120759,2.53,0.2109,535.00,-28.35,-0.050300000000000004
2025-09-19,137,m,19446,63292,3.25,418314,907040,2.17,0.2084,565.00,1.65,0.0029
2025-09-30,148,w,1505,14784,9.82,88247,63162,0.72,0.2087,550.00,-13.35,-0.023700000000000002
2025-10-31,179,w,1743,2803,1.61,5527,13749,2.49,0.2104,565.00,1.65,0.0029
2025-12-19,228,m,9721,9441,0.97,388081,527686,1.36,0.2091,550.00,-13.35,-0.023700000000000002
2025-12-31,240,w,1415,6694,4.73,96337,75908,0.79,0.2089,593.00,29.65,0.0526
2026-01-16,256,m,4212,4760,1.13,392713,426826,1.09,0.2066,565.00,1.65,0.0029
2026-03-20,319,m,2318,1402,0.6,224258,143411,0.64,0.2077,580.00,16.65,0.0296
2026-03-31,330,w,453,6314,13.94,7960,36764,4.62,0.20800000000000002,555.00,-8.35,-0.0148
2026-06-18,409,w,2630,6658,2.53,241226,119632,0.5,0.2076,550.00,-13.35,-0.023700000000000002
2026-12-18,592,m,553,2645,4.78,121228,157360,1.3,0.20809999999999998,540.00,-23.35,-0.0414
2027-01-15,620,m,356,899,2.53,54758,56467,1.03,0.2082,600.00,36.65,0.06509999999999999
2027-12-17,956,m,909,457,0.5,55963,73191,1.31,0.2127,570.00,6.65,0.0118
