Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,1,w,66572,48486,0.73,69378,53178,0.77,0.39880000000000004,367.50,-21.25,-0.0547
2025-05-02,8,w,23689,13788,0.58,40503,30938,0.76,0.4561,370.00,-18.75,-0.0482
2025-05-09,15,w,3426,3196,0.93,20989,17000,0.81,0.3624,320.00,-68.76,-0.1769
2025-05-16,22,m,12211,9115,0.75,165931,110629,0.67,0.34869999999999995,390.00,1.25,0.0032
2025-05-23,29,w,1540,933,0.61,7688,4467,0.58,0.3336,365.00,-23.75,-0.0611
2025-05-30,36,w,1852,838,0.45,8064,5468,0.68,0.304,370.00,-18.75,-0.0482
2025-06-06,43,w,554,97,0.18,0,0,0,0.2973,310.00,-78.76,-0.2026
2025-06-20,57,m,8846,4311,0.49,207969,155149,0.75,0.2873,390.00,1.25,0.0032
2025-07-18,85,m,3990,1534,0.38,62520,42652,0.68,0.2773,390.00,1.25,0.0032
2025-08-15,113,m,18397,1205,0.07,43145,59526,1.38,0.2904,430.00,41.25,0.1061
2025-09-19,148,m,2766,527,0.19,58267,55469,0.95,0.27949999999999997,400.00,11.25,0.028900000000000002
2025-10-17,176,m,854,2773,3.25,12606,17538,1.39,0.2777,390.00,1.25,0.0032
2025-12-19,239,m,1494,342,0.23,74264,90467,1.22,0.2785,400.00,11.25,0.028900000000000002
2026-01-16,267,m,2423,575,0.24,121602,107805,0.89,0.2801,400.00,11.25,0.028900000000000002
2026-03-20,330,m,491,432,0.88,14098,14954,1.06,0.2768,380.00,-8.75,-0.0225
2026-06-18,420,w,625,1400,2.24,40577,25901,0.64,0.2761,380.00,-8.75,-0.0225
2026-12-18,603,m,334,150,0.45,82187,33262,0.4,0.2781,370.00,-18.75,-0.0482
2027-01-15,631,m,224,70,0.31,34946,23668,0.68,0.2798,400.00,11.25,0.028900000000000002
2027-06-17,784,w,23,54,2.35,4512,3427,0.76,0.2809,380.00,-8.75,-0.0225
2027-12-17,967,m,564,202,0.36,22997,14739,0.64,0.2843,320.00,-68.76,-0.1769
