Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,0,w,271937,125126,0.46,191139,149425,0.78,0.06849999999999999,152.50,-9.31,-0.0575
2025-05-02,7,w,157438,49007,0.31,95823,48434,0.51,0.3439,155.00,-6.81,-0.0421
2025-05-09,14,w,25487,10016,0.39,26694,10941,0.41,0.31370000000000003,150.00,-11.81,-0.073
2025-05-16,21,m,65296,38339,0.59,217213,146239,0.67,0.31370000000000003,160.00,-1.81,-0.011200000000000002
2025-05-23,28,w,4577,1567,0.34,16650,18518,1.11,0.3358,115.00,-46.81,-0.2893
2025-05-30,35,w,7210,2201,0.31,11915,8158,0.68,0.3155,115.00,-46.81,-0.2893
2025-06-06,42,w,9151,8515,0.93,496,144,0.29,0.3262,160.00,-1.81,-0.011200000000000002
2025-06-20,56,m,38550,21887,0.57,300448,227202,0.76,0.3091,165.00,3.19,0.0197
2025-07-18,84,m,29025,3443,0.12,100495,69695,0.69,0.3053,170.00,8.19,0.0506
2025-08-15,112,m,5735,2088,0.36,70673,78519,1.11,0.3308,165.00,3.19,0.0197
2025-09-19,147,m,6588,2622,0.4,110652,108279,0.98,0.32439999999999997,165.00,3.19,0.0197
2025-10-17,175,m,34322,1834,0.05,48022,23952,0.5,0.3184,160.00,-1.81,-0.011200000000000002
2025-11-21,210,m,1110,487,0.44,9735,7936,0.82,0.3248,150.00,-11.81,-0.073
2025-12-19,238,m,3543,976,0.28,117203,95589,0.82,0.3286,165.00,3.19,0.0197
2026-01-16,266,m,13315,4401,0.33,321440,145443,0.45,0.32299999999999995,160.00,-1.81,-0.011200000000000002
2026-03-20,329,m,1836,1476,0.8,36594,52776,1.44,0.3276,160.00,-1.81,-0.011200000000000002
2026-06-18,419,w,1233,426,0.35,45010,43339,0.96,0.32530000000000003,160.00,-1.81,-0.011200000000000002
2026-09-18,511,m,483,240,0.5,3764,5248,1.39,0.3262,160.00,-1.81,-0.011200000000000002
2026-12-18,602,m,671,49,0.07,153697,42980,0.28,0.32659999999999995,170.00,8.19,0.0506
2027-01-15,630,m,1585,948,0.6,102361,46899,0.46,0.3271,165.00,3.19,0.0197
2027-06-17,783,w,2700,49,0.02,6436,932,0.14,0.3298,140.00,-21.81,-0.1348
2027-12-17,966,m,1520,194,0.13,12472,9393,0.75,0.3419,150.00,-11.81,-0.073
