Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-11,0,w,249826,141493,0.57,177554,110522,0.62,0.0346,88.00,-5.31,-0.057
2025-04-17,6,w,134634,68498,0.51,315530,214928,0.68,0.7395999999999999,100.00,6.69,0.0716
2025-04-25,14,w,19971,12625,0.63,54903,39160,0.71,0.6668000000000001,93.00,-0.31,-0.0034000000000000002
2025-05-02,21,w,8371,3122,0.37,31840,17640,0.55,0.6516,99.00,5.69,0.060899999999999996
2025-05-09,28,w,4197,2317,0.55,18837,5454,0.29,0.7232999999999999,93.00,-0.31,-0.0034000000000000002
2025-05-16,35,m,15176,10061,0.66,207624,163862,0.79,0.6759000000000001,105.00,11.69,0.1252
2025-05-23,42,w,1922,496,0.26,6036,2605,0.43,0.6639,90.00,-3.31,-0.0355
2025-05-30,49,w,468,274,0.59,149,32,0.21,0.6528,87.00,-6.31,-0.0677
2025-06-20,70,m,17656,18674,1.06,366302,289729,0.79,0.6002000000000001,110.00,16.69,0.1788
2025-07-18,98,m,4284,2444,0.57,95522,73892,0.77,0.5747,110.00,16.69,0.1788
2025-08-15,126,m,2559,1760,0.69,95658,87529,0.92,0.5765,110.00,16.69,0.1788
2025-09-19,161,m,14342,2664,0.19,113307,155279,1.37,0.5573,115.00,21.69,0.2324
2025-10-17,189,m,1797,561,0.31,40018,46323,1.16,0.5447,105.00,11.69,0.1252
2025-11-21,224,m,2784,827,0.3,31452,27166,0.86,0.5443,105.00,11.69,0.1252
2025-12-19,252,m,3686,2045,0.55,99377,97983,0.99,0.5364,120.00,26.69,0.28600000000000003
2026-01-16,280,m,6878,3555,0.52,264257,183876,0.7,0.5286,120.00,26.69,0.28600000000000003
2026-02-20,315,m,818,105,0.13,10493,10120,0.96,0.5285,95.00,1.69,0.0181
2026-03-20,343,m,1163,962,0.83,40484,40438,1.0,0.523,100.00,6.69,0.0716
2026-06-18,433,w,951,266,0.28,82670,73673,0.89,0.5171,120.00,26.69,0.28600000000000003
2026-12-18,616,m,806,1563,1.94,66479,46705,0.7,0.5134000000000001,130.00,36.69,0.3931
2027-01-15,644,m,1308,1022,0.78,99713,88564,0.89,0.5149,110.00,16.69,0.1788
2027-12-17,980,m,766,102,0.13,9745,8086,0.83,0.5014,90.00,-3.31,-0.0355
